"",,GPS Coordinates
Site No.,Site Description,Northing Easting
"",,(metres) (metres)
7,Sumas River @ Vye Road,5429644 556907
7B,Sumas River @ U.S.A. border,- -
8,Saar Creek @ Vye Road,5429665 559270
8B,Saar Creek @ U.S.A. border,- -
9,Arnold Slough @ Cole Road,5430817 559671
9B,Arnold Slough @ U.S.A. border,- -
10,Marshall Creek @ Sumas Mountain Road,5433704 558812
11,Sumas River @ South Parallel Road,5433245 558837
12,Sumas River @ McDermott Road,5436173 561106
13,Stewart Slough @ Boundary Road,5435416 567172
14,Sumas Drainage Canal @ Hwy 1 West,5440511 564897
15,Sumas River downstream of Barrowtown,5440689 564883
"",Pump Station,
